ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2014-02-25,0.73,3.032,-2.571,89,10.0,APPLE INC
AAPL,MM,2014-02-26,0.163,2.554,-3.228,86,9.0,APPLE INC
AAPL,MM,2014-02-27,0.722,2.816,-2.373,97,10.0,APPLE INC
AAPL,MM,2014-02-28,0.766,2.943,-2.412,64,6.0,APPLE INC
AAPL,MM,2014-03-01,1.042,3.395,-2.312,24,5.0,APPLE INC
AAPL,MM,2014-03-02,0.643,2.592,-2.307,14,6.0,APPLE INC
AAPL,MM,2014-03-03,1.041,3.084,-2.003,74,10.0,APPLE INC
AAPL,MM,2014-03-04,0.226,2.067,-2.615,84,8.0,APPLE INC
AAPL,MM,2014-03-05,0.533,2.81,-2.743,45,4.0,APPLE INC
AAPL,MM,2014-03-06,0.263,2.546,-3.02,57,5.0,APPLE INC
AAPL,MM,2014-03-07,1.106,3.449,-2.237,66,7.0,APPLE INC
AAPL,MM,2014-03-08,1.75,3.827,-1.327,16,5.0,APPLE INC
AAPL,MM,2014-03-09,0.467,1.351,-1.418,15,6.0,APPLE INC
AAPL,MM,2014-03-10,0.952,2.791,-1.886,42,8.0,APPLE INC
AAPL,MM,2014-03-11,1.286,3.076,-1.504,42,5.0,APPLE INC
AAPL,MM,2014-03-12,0.884,3.209,-2.441,43,6.0,APPLE INC
AAPL,MM,2014-03-13,1.268,3.677,-2.141,56,8.0,APPLE INC
AAPL,MM,2014-03-14,0.647,2.921,-2.627,34,5.0,APPLE INC
AAPL,MM,2014-03-15,0.5,2.092,-2.092,14,5.0,APPLE INC
AAPL,MM,2014-03-16,0.267,1.607,-2.073,15,7.0,APPLE INC
AAPL,MM,2014-03-17,0.425,2.373,-2.523,40,10.0,APPLE INC
AAPL,MM,2014-03-18,1.757,4.066,-1.551,103,10.0,APPLE INC
AAPL,MM,2014-03-19,0.197,2.478,-3.083,71,6.0,APPLE INC
AAPL,MM,2014-03-20,0.464,2.724,-2.795,56,5.0,APPLE INC
AAPL,MM,2014-03-21,0.694,3.198,-2.809,36,3.0,APPLE INC
AAPL,MM,2014-03-22,1.667,4.093,-1.76,6,2.0,APPLE INC
AAPL,MM,2014-03-23,1.238,3.418,-1.942,21,3.0,APPLE INC
AAPL,MM,2014-03-24,0.48,2.525,-2.566,123,10.0,APPLE INC
AAPL,MM,2014-03-25,1.635,4.079,-1.809,85,6.0,APPLE INC
AAPL,MM,2014-03-26,0.672,2.579,-2.234,58,4.0,APPLE INC
AAPL,MM,2014-03-27,0.849,2.927,-2.229,53,4.0,APPLE INC
AAPL,MM,2014-03-28,1.1,3.135,-1.935,80,6.0,APPLE INC
AAPL,MM,2014-03-29,0.5,2.839,-2.839,18,4.0,APPLE INC
AAPL,MM,2014-03-30,0.789,2.752,-2.173,19,5.0,APPLE INC
AAPL,MM,2014-03-31,0.917,2.615,-1.782,84,9.0,APPLE INC
AAPL,MM,2014-04-01,0.072,1.699,-2.554,83,9.0,APPLE INC
AAPL,MM,2014-04-02,0.904,2.94,-2.132,104,10.0,APPLE INC
AAPL,MM,2014-04-03,0.767,2.665,-2.131,73,7.0,APPLE INC
AAPL,MM,2014-04-04,1.115,3.374,-2.143,52,5.0,APPLE INC
